Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
JAM,Jamaica,Jamaica,Jamaica,JM,Jamaican dollar,"Based on official government statistics, national accounts data have been revised for 2002 onward; the new base year is 2007.",Latin America & Caribbean,Upper middle income,JM,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 2010",,2007,,2010,1993
JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,,Middle East & North Africa,Upper middle income,JO,1994,,Value added at basic prices (VAB),IBRD,,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2004,"Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2010",,2007,2009,2011,2005
KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,,Europe & Central Asia,Upper middle income,KZ,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2010/11","Expenditure survey/budget survey (ES/BS), 2011",Yes,,,2011,2010
KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Low income,KE,2001,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Malaria Indicator Survey (MIS), 2010; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2010","Integrated household survey (IHS), 2005/06",,,2007,2010,2003
KSV,Kosovo,Kosovo,Republic of Kosovo,,Euro,"Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",Europe & Central Asia,Lower middle income,KV,2008,,,IDA,,Country uses the 1993 System of National Accounts methodology.,,,,Actual,,,General Data Dissemination System (GDDS),2011,,"Integrated household survey (IHS), 2009",,,,,
KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,,Europe & Central Asia,Low income,KG,Original chained constant price data are rescaled.,1995,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2009,"Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2010",Yes,2002,2009,2011,2006
LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,,East Asia & Pacific,Lower middle income,LA,2002,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,,2005,"Multiple Indicator Cluster Survey (MICS), 2011/12","Expenditure survey/budget survey (ES/BS), 2008",,2010/11,,1974,2005
LAC,Latin America & Caribbean (developing only),Latin America & Caribbean,Latin America & Caribbean (developing only),XJ,,Latin America and Caribbean regional aggregate (does not include high-income economies).,,,XJ,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,Lebanon,Lebanese Republic,LB,Lebanese pound,,Middle East & North Africa,Upper middle income,LB,1997,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1970,"Multiple Indicator Cluster Survey (MICS), 2000",,Yes,2011,2007,2011,2005
LSO,Lesotho,Lesotho,Kingdom of Lesotho,LS,Lesotho loti,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,LS,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2009","Expenditure survey/budget survey (ES/BS), 2002/03",,2010,,2009,2000
LBR,Liberia,Liberia,Republic of Liberia,LR,Liberian dollar,"Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.",Sub-Saharan Africa,Low income,LR,2000,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Malaria Indicator Survey (MIS), 2011","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",,,,1984,2000
LMY,Low & middle income,Low & middle income,Low & middle income,XO,,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2012 GNI per capita was $12,615 or less.",,,XO,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,Low income,Low income,XM,,"Low income group aggregate. Low-income economies are those in which 2012 GNI per capita was $1,035 or less.",,,XM,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,Lower middle income,Lower middle income,XN,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2012 GNI per capita was between $1,036 and $4,085.",,,XN,,,,,,,,,,,,,,,,,,,,,
MKD,Macedonia,"Macedonia, FYR",Former Yugoslav Republic of Macedonia,MK,Macedonian denar,"April 2012 database update: Based on official statistics, national accounts data were revised for 2003 onward.",Europe & Central Asia,Upper middle income,MK,1995,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2009",Yes,2007,2009,2011,2007
MDG,Madagascar,Madagascar,Republic of Madagascar,MG,Malagasy ariary,,Sub-Saharan Africa,Low income,MG,1984,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1993,"Malaria Indicator Survey (MIS), 2011","Priority survey (PS), 2010",,,2006,2011,2000
MWI,Malawi,Malawi,Republic of Malawi,MW,Malawi kwacha,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.",Sub-Saharan Africa,Low income,MW,2009,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2008,"Malaria Indicator Survey (MIS), 2012; Living Standards Measurement Study Survey (LSMS), 2010/11","Integrated household survey (IHS), 2010/11",,2007,2009,2011,2005
MYS,Malaysia,Malaysia,Malaysia,MY,Malaysian ringgit,"Based on official government statistics, value added in services in constant and current prices have been revised from 1990 onward. National accounts data in constant prices have been linked going back to 1960 with year 2005 as the base.",East Asia & Pacific,Upper middle income,MY,2005,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,,"Expenditure survey/budget survey (ES/BS), 2009",Yes,2012,2008,2011,2005
MDV,Maldives,Maldives,Republic of Maldives,MV,Maldivian rufiyaa,April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.,South Asia,Upper middle income,MV,2003,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 2010",Yes,,,2011,2008
MLI,Mali,Mali,Republic of Mali,ML,CFA franc,,Sub-Saharan Africa,Low income,ML,1987,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2009/10",,,,2010,2000
MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,"April 2012 database update: Based on official government statistics, data were revised for 1991 onward; the base year for constant price series changed to 2004.",Sub-Saharan Africa,Lower middle income,MR,2004,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2000,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2008",,,,2011,2005
MUS,Mauritius,Mauritius,Republic of Mauritius,MU,Mauritian rupee,"In 2010, national accounts were revised to reflect fiscal year data rather than calendar year data.",Sub-Saharan Africa,Upper middle income,MU,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Reproductive Health Survey (RHS), 1991",,Yes,,2007,2011,2003
MEX,Mexico,Mexico,United Mexican States,MX,Mexican peso,The new base year is 2008.,Latin America & Caribbean,Upper middle income,MX,2008,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,2008,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Family Planning Survey (ENPF), 1995","Labor force survey (LFS), 2010",,2007,2007,2011,2009
MNA,Middle East & North Africa (developing only),Middle East & North Africa,Middle East & North Africa (developing only),XQ,,Middle East and North Africa regional aggregate (does not include high-income economies).,,,XQ,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,Middle income,Middle income,XP,,"Middle income group aggregate. Middle-income economies are those in which 2012 GNI per capita was between $1,036 and $12,615.",,,XP,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,Moldova,Republic of Moldova,MD,Moldovan leu,,Europe & Central Asia,Lower middle income,MD,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2010",Yes,2011,2009,2011,2007
MNG,Mongolia,Mongolia,Mongolia,MN,Mongolian tugrik,,East Asia & Pacific,Lower middle income,MN,2005,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2010","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2012,2008,2007,2009
MNE,Montenegro,Montenegro,Montenegro,ME,Euro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Europe & Central Asia,Upper middle income,ME,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2005/06","Expenditure survey/budget survey (ES/BS), 2011",Yes,2010,,2011,2010
MAR,Morocco,Morocco,Kingdom of Morocco,MA,Moroccan dirham,,Middle East & North Africa,Lower middle income,MA,1998,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006","Expenditure survey/budget survey (ES/BS), 2007",,2012,2009,2010,2000
MOZ,Mozambique,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,,Sub-Saharan Africa,Low income,MZ,2003,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2008/09",,2010,,2011,2001
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,Fiscal year end: March 31; reporting period for national accounts data: FY.,East Asia & Pacific,Low income,MM,2005/06,,Value added at producer prices (VAP),IDA,,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,,1983,"Multiple Indicator Cluster Survey (MICS), 2009/10",,,2011/12,2003,2010,2000
NPL,Nepal,Nepal,Nepal,NP,Nepalese rupee,Fiscal year end: July 14; reporting period for national accounts data: FY.,South Asia,Low income,NP,2000/01,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2011","Living Standards Measurement Study Survey (LSMS), 2011",,2012,2008,2011,2006
NIC,Nicaragua,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,"Based on official government statistics, national accounts data have been revised for 1994 onward; the new base year is 2006.",Latin America & Caribbean,Lower middle income,NI,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1965–95,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Reproductive Health Survey (RHS), 2006/2007","Living Standards Measurement Study Survey (LSMS), 2009",,2011,,2011,2001
NER,Niger,Niger,Republic of Niger,NE,CFA franc,Base year has changed to 2006.,Sub-Saharan Africa,Low income,NE,2006,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2008",,2008,2002,2011,2005
NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,,Sub-Saharan Africa,Lower middle income,NG,2002,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,1971–98,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2010",,2007,,2011,2005
PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.,South Asia,Lower middle income,PK,2005/06,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1998,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2008",,2010,2006,2011,2008
PAN,Panama,Panama,Republic of Panama,PA,Panamanian balboa,,Latin America & Caribbean,Upper middle income,PA,1996,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Living Standards Measurement Study Survey (LSMS), 2008","Labor force survey (LFS), 2010",,2011,2001,2011,2000
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,,East Asia & Pacific,Lower middle income,PG,1998,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1989,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Living Standards Measurement Study Survey (LSMS), 1996","Integrated household survey (IHS), 1996",,,,2004,2005
PRY,Paraguay,Paraguay,Republic of Paraguay,PY,Paraguayan guarani,"SNA data have been revised for 1960-2012. The methodology and base year have not changed but hydroelectric output shared with neighboring countries has been added. On the supply side, it was added in ""gas, electricity and water."" On the demand side changes were mainly to exports, but also for imports, investment and consumption leading to upward GDP revisions for 1990-2012. SNA price valuation for 1991-2012 has also been corrected and changed from VAP to VAB.",Latin America & Caribbean,Lower middle income,PY,1994,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Reproductive Health Survey (RHS), 2008","Integrated household survey (IHS), 2011",,2008,2002,2011,2000
PER,Peru,Peru,Republic of Peru,PE,Peruvian new sol,,Latin America & Caribbean,Upper middle income,PE,1994,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1985–90,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Continuous Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2011",,2012,2007,2011,2000
PHL,Philippines,Philippines,Republic of the Philippines,PH,Philippine peso,"April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.",East Asia & Pacific,Lower middle income,PH,2000,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2008","Expenditure survey/budget survey (ES/BS), 2009",Yes,2012,2006,2011,2009
ROM,Romania,Romania,Romania,RO,New Romanian leu,,Europe & Central Asia,Upper middle income,RO,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,"1987–89, 1992",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Reproductive Health Survey (RHS), 1999","Labor force survey (LFS), 2010",Yes,2010,2009,2011,2009
RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,"Based on official government statistics, national accounts data have been revised for 1999 onward; the new base year is 2006.",Sub-Saharan Africa,Low income,RW,2006,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1994,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Special Demographic and Health Survey (DHS), 2011","Integrated household survey (IHS), 2011",,2008,,2011,2000
WSM,Samoa,Samoa,Samoa,WS,Samoan tala,Fiscal year ends on June 30. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa.,East Asia & Pacific,Lower middle income,WS,2002,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2009",,,2009,,2011,
STP,São Tomé and Principe,São Tomé and Principe,Democratic Republic of São Tomé and Principe,ST,São Tomé and Principe dobra,,Sub-Saharan Africa,Lower middle income,ST,2001,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2008/09","Priority survey (PS), 2009/10",,2011/12,,2010,1993
SEN,Senegal,Senegal,Republic of Senegal,SN,CFA franc,,Sub-Saharan Africa,Lower middle income,SN,1999,1987,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"Continuous Demographic and Health Survey (DHS), 2012","Priority survey (PS), 2010/11",,2011/12,2009,2011,2002
SRB,Serbia,Serbia,Republic of Serbia,RS,New Serbian dinar,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised, and GDP is now calculated using chain linked volumes in 2005 prices.",Europe & Central Asia,Upper middle income,YF,Original chained constant price data are rescaled.,2002,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2010",Yes,2012,2009,2011,2009
SYC,Seychelles,Seychelles,Republic of Seychelles,SC,Seychelles rupee,"Based on official government statistics, national accounts data have been revised for 1976 onward; the new base year is 2006.",Sub-Saharan Africa,Upper middle income,SC,2006,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,,"Integrated household survey (IHS), 2007",Yes,2011,,2008,2005
SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,"Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised for 1990 onward; the new base year is 2006.",Sub-Saharan Africa,Low income,SL,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2011",,,,2002,2005
SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,,East Asia & Pacific,Lower middle income,SB,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2009,,"Integrated household survey (IHS), 2005/06",,2012/13,,2011,
SOM,Somalia,Somalia,Somali Democratic Republic,SO,Somali shilling,,Sub-Saharan Africa,Low income,SO,1985,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1977–90,,,Estimate,,,,1987,"Multiple Indicator Cluster Survey (MICS), 2006",,,,,1983,2003
ZAF,South Africa,South Africa,Republic of South Africa,ZA,South African rand,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,ZA,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2003","Expenditure survey/budget survey (ES/BS), 2010",,2012,2009,2011,2000
SAS,South Asia,South Asia,South Asia,8S,,South Asia regional aggregate. There are no economies in South Asia classified as high income.,,,8S,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,,South Asia,Lower middle income,LK,2002,,Value added at producer prices (VAP),Blend,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2010",Yes,2013,2008,2011,2005
LCA,St. Lucia,St. Lucia,St. Lucia,LC,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,LC,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995",Yes,,,2008,2005
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,VC,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,,,Yes,,,2011,1995
SSA,Sub-Saharan Africa (developing only),Sub-Saharan Africa,Sub-Saharan Africa (developing only),ZF,,Sub-Saharan Africa regional aggregate (does not include high-income economies).,,,ZF,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,Sudan,Republic of the Sudan,SD,Sudanese pound,"Total population data are reported separately for Sudan and South Sudan; see specific notes for other demographic-related series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan include South Sudan unless otherwise noted.",Sub-Saharan Africa,Lower middle income,SD,1981/82. Reporting period switch from fiscal year to calendar year from 1996. Pre-1996 data converted to calendar year.,1996,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Sudan Household Health Survey (SHHS), 2010","Expenditure survey/budget survey (ES/BS), 2009",,,2001,2009,2005. Includes South Sudan.
SWZ,Swaziland,Swaziland,Kingdom of Swaziland,SZ,Swaziland lilangeni,"Fiscal year end: March 31; reporting period for national accounts data: CY. In 2011, the Central Statistical Office revised national accounts data for 1990 onward.",Sub-Saharan Africa,Lower middle income,SZ,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2010","Expenditure survey/budget survey (ES/BS), 2009/10",,,,2007,2000
